Date,TimeOfday,Open,High,Low,Close,Volume,RSI,MACD,CCI,BollingerBandL,BollingerBandU,Month,DayOfWeek,DayOfMonth
2016-01-18 09:15:00+05:30,555,184.7,186.2,181.15,184.9,2.52448e+06,0,0,0,0,0,01,1,18
2016-01-18 09:30:00+05:30,570,184.9,184.95,182.9,183.85,1.45546e+06,0,0,0,0,0,01,1,18
2016-01-18 09:45:00+05:30,585,183.9,183.9,180.1,180.45,1.93501e+06,0,0,0,0,0,01,1,18
2016-01-18 10:00:00+05:30,600,180.5,181,179.15,180.25,1.78776e+06,0,0,0,0,0,01,1,18
2016-01-18 10:15:00+05:30,615,180.15,182.55,180.15,182.2,1.23837e+06,0,0,0,0,0,01,1,18
2016-01-18 10:30:00+05:30,630,182.25,183.95,181.4,183.5,1.24142e+06,0,0,0,0,0,01,1,18
2016-01-18 10:45:00+05:30,645,183.7,184.75,182.75,184.3,1.75559e+06,0,0,0,0,0,01,1,18
2016-01-18 11:00:00+05:30,660,184.35,186.75,183.95,186.45,2.11353e+06,0,0,0,0,0,01,1,18
2016-01-18 11:15:00+05:30,675,186.3,186.65,184.9,185.35,1.18861e+06,0,0,0,0,0,01,1,18
2016-01-18 11:30:00+05:30,690,185.45,185.65,184.15,184.3,680628,0,0,0,0,0,01,1,18
2016-01-18 11:45:00+05:30,705,184.25,184.35,182.2,183.35,1.19571e+06,0,0,0,0,0,01,1,18
2016-01-18 12:00:00+05:30,720,183.35,184.4,183.15,183.95,683159,0,-36.7142,0,0,0,01,1,18
2016-01-18 12:15:00+05:30,735,183.95,184.7,183.95,184.3,522876,0,-66.1079,0,0,0,01,1,18
2016-01-18 12:30:00+05:30,750,184.2,185.3,184.15,185.25,711632,0.511041,-89.6712,0,0,0,01,1,18
2016-01-18 12:45:00+05:30,765,185.25,185.7,184.75,184.9,969097,0.534653,-108.552,0,0,0,01,1,18
2016-01-18 13:00:00+05:30,780,184.95,185.05,183.85,184.8,994845,0.683545,-123.679,0,0,0,01,1,18
2016-01-18 13:15:00+05:30,795,184.8,184.9,183.8,184.25,936072,0.663935,-135.782,0,0,0,01,1,18
2016-01-18 13:30:00+05:30,810,184.2,186.25,184.2,186.1,1.16086e+06,0.661158,-145.523,0,0,0,01,1,18
2016-01-18 13:45:00+05:30,825,186.1,188,185.85,186.8,1.99816e+06,0.643479,-153.388,0,0,0,01,1,18
2016-01-18 14:00:00+05:30,840,186.8,186.85,185.1,185.6,738374,0.554622,-159.702,0,0,0,01,1,18
2016-01-18 14:15:00+05:30,855,185.6,185.8,184,184.5,1.19657e+06,0.410138,-164.74,0.486491,180.971,187.374,01,1,18
